m,s,min_svd_list,max_svd_list,avg_time
100,55,"[0.0021619079666757015, 0.0005591747604062885, 0.015899575245319576, 0.007165078663855523, 0.0071671306688754835, 0.005071494330021976, 0.006886730255834495, 0.019741265058626615, 0.00011853046336039503, 0.008410223228544659, 0.011276598244925114, 0.006140431785309311, 0.005644322036340636, 0.0066220382547630555, 0.014462959986256735, 0.0023376076234508294, 0.017470593468724777, 0.02540189053113492, 0.006334944365874105, 0.0033065401382316832]","[2.02836248400192, 1.908537329074907, 1.9803001941883767, 2.007247423770404, 1.9568460360194195, 2.0014534929106214, 1.9303292515385244, 1.9552968496182768, 2.0009964451899536, 1.937268066984207, 1.9581965891622608, 1.982538687272054, 1.9815144766598372, 1.971227336892633, 1.911422611709437, 1.8508171350072227, 1.9976044352083386, 1.9951831271077793, 1.8828978878259492, 2.009048382837648]",0.05894371271133423
100,60,"[0.015267050915583854, 0.00222999433241662, 0.0018341234354204707, 0.0016644097440346537, 0.0025131366343846633, 0.006364623933582352, 0.0038741768871333993, 0.006975423381084398, 0.0018806061574977767, 0.002365512576957162, 0.0164969869076657, 0.0029544523207684827, 0.005969747570232622, 0.0031101541345925653, 0.0041576746295872834, 0.006016423550097378, 0.010714689505726701, 0.008218782745812477, 0.011996160690392381, 0.00793368338510395]","[1.9403324686002565, 2.04461545762133, 1.9655880221204336, 1.9627477879450566, 1.9394963408980033, 1.9709125334361557, 1.9665087408590358, 1.9520531474244878, 1.9833604444935211, 1.972400926083136, 1.989098569009171, 1.9638758476222893, 1.918148362257566, 1.9784850672908079, 1.9445775382505353, 1.9882902830039173, 1.9220905900515746, 1.9878690339782445, 1.9099116259897062, 1.9165299056736276]",0.0568900465965271
100,65,"[0.014625578825230579, 0.009837219049181598, 0.005544410848971279, 0.0028399595843778495, 0.006551868194083481, 0.0021088500975565932, 0.002998796055547754, 0.002733954301846872, 0.004597140167492812, 0.0007449168646391517, 0.007667850617397124, 0.008943266278256005, 0.005454617320831452, 0.005226712935211243, 0.009813644591419503, 0.0002683265275370521, 0.004230421355902127, 0.01204028722432538, 0.009665035493097983, 0.0054217955521497045]","[1.9579792756985603, 2.0388788931324475, 2.010482923302706, 1.996651613842727, 1.9144383824711944, 1.9463568756301495, 1.9797378049903929, 1.983866754092447, 1.925355574022057, 2.0330537023126105, 1.9265195022574941, 1.9493787296057399, 2.03809503616282, 1.9367430784330126, 1.934242860824149, 1.89297518722377, 1.9518723149893733, 1.9879688518067256, 1.897972864809742, 1.9143649340422928]",0.059145557880401614
100,70,"[0.006987155141742547, 0.0058629007216354405, 0.006883617054292938, 0.010881210612735842, 0.0009645740450462204, 0.01253011234558997, 0.005108117407983746, 0.012672125690459344, 0.007016286017685508, 0.0009786962990506738, 0.00283134483519829, 0.00910548306865457, 0.005669920940518286, 0.003195101357881365, 0.004626269227230353, 0.001367314307986723, 0.0004939289515535401, 0.005320449464474446, 0.005367337679572478, 0.005664653671161171]","[1.990119776906865, 1.923640558744957, 1.9947449969073328, 1.9214852113351315, 1.94153277074085, 1.975292142364362, 1.8795956953199824, 1.8973184157415341, 1.9144629166441478, 1.9667215884226639, 1.9535122621532222, 2.042739143631106, 1.9336389569272538, 1.982052352110739, 1.9435864248240002, 1.9451727716888962, 1.9407248287221956, 1.9400395755666977, 1.976997107261116, 1.8914617195387229]",0.06841007471084595
100,75,"[0.0012167920803691768, 0.010498608823390418, 0.005777618697359963, 0.001583627949329803, 0.0021501241994182976, 0.012757420920274942, 0.02054502328412547, 0.0035199212037436904, 0.0017840139440076983, 0.005195136950225166, 0.00440647858924109, 0.010298492016592978, 0.008093516263993876, 0.0017458013516032191, 0.001998838113821489, 0.0011552392932462133, 0.002526996469394631, 0.0006723587717701279, 0.005397500203359942, 0.005154572847999852]","[1.99822279293596, 1.9934389644528459, 1.941557698764626, 1.8998005662914628, 1.9796882028352631, 2.0587037553290215, 1.9331747378615818, 1.9623226148102333, 1.9728329956259714, 1.9660587425033358, 2.0680679091187746, 1.9005718210402929, 1.9700877472011702, 1.8990216406938074, 1.9397422987409687, 1.927597468562235, 1.963690099384641, 1.987316962413253, 1.9584837143720664, 1.9357862355045117]",0.06703388690948486
100,80,"[0.0018397736251738565, 0.014398105803158694, 0.00012510948338272017, 0.0015902436674431813, 0.0002858912606152171, 0.0025358439411529332, 0.003066212888243327, 0.0037738223148774184, 0.01355422732192983, 0.012729323697745109, 0.009511015339136538, 0.01269553258790807, 0.0018132399469731485, 0.007327378493672777, 0.004564042466212759, 0.015769659392841008, 0.003608955749411872, 0.004236846688890722, 0.004367812062224476, 0.005002164734453359]","[1.9592611564434101, 1.9499093783102883, 1.9865291915647498, 1.9192669315935782, 1.9546805110387684, 1.9630492409427998, 1.9614574702411354, 1.926023301160502, 1.9851007580438946, 1.9866275051205764, 1.9141410700199704, 2.051146202995177, 2.031849925702767, 1.9513093777507433, 1.924961167536777, 1.9779929989252905, 1.9228157959448404, 1.942360936828712, 1.9760518285348474, 1.920184737423722]",0.06939066648483276
100,85,"[0.0041791855737273, 0.0035325613307425363, 0.011599063627788979, 0.002217517580677427, 0.007113396713208262, 0.001292186719173398, 0.011303288310560064, 0.003815807140661898, 0.006751194141927124, 0.00554147042931561, 0.009833873613281101, 0.008189155721482431, 0.013185502558198597, 0.008595502011720949, 0.00823275315395911, 0.0020345443643558143, 0.0013961111465912188, 0.005489196053095968, 0.01814406374792404, 0.008495446607325203]","[1.9783991652544541, 1.975433846976386, 1.9449840759326473, 1.9486079501353035, 1.8950233056494983, 1.864199048585982, 1.9487112500055326, 1.96835889100137, 2.0004205894517106, 1.9454762830537655, 1.9997941777276467, 1.9629833829350547, 1.9991108502856993, 1.915306398587019, 1.9070398085885707, 1.9168920139689745, 1.9987235972424593, 1.94091243797972, 1.9712676712093093, 1.979451913167916]",0.06518155336380005
100,90,"[0.00752986554226192, 0.005930938532044772, 0.015694458644231486, 0.0006205388811614038, 0.011989264762527598, 0.0030660704155330695, 0.012342481311284815, 0.0035656637444000626, 0.013060151317482666, 0.0069572873711684965, 0.006822288310612257, 0.009318774301012423, 0.008500765694760347, 0.002150562477203026, 0.011150177032376245, 0.002770534116899335, 0.011893450911003639, 0.00508678776713135, 0.0010554729396217378, 0.00955440281332187]","[1.9560872522122843, 1.9332633240631656, 1.975811551741291, 1.9685038167721656, 1.9253914293281942, 1.911881446963208, 1.9792725821160717, 1.9206423958831456, 1.9453904498590162, 1.93912582086143, 1.948383407332017, 1.9838869092727385, 1.9780313023981326, 1.9340570552796852, 1.9602223874390654, 1.927991356415076, 1.9052200678219369, 1.9900978051920333, 1.997259122169549, 1.9042070631641994]",0.06899181604385377
100,95,"[0.0021269571234066842, 0.01574115204170399, 0.0025734021001657193, 0.0027827611133948507, 0.001841785440847587, 0.013533288757668661, 0.009007763726533587, 0.0067663730158189234, 0.009634987409906693, 0.007977465030276723, 0.0009522371295809344, 0.0012335048426501591, 0.020845999876717782, 0.007975683740341076, 0.006140778414104037, 0.0035398180921607124, 0.0030775968247768724, 0.010741604994798967, 0.017521945922009122, 0.004020226739409052]","[1.9280018480079517, 1.9249915347729223, 1.9208712467109927, 1.9160743826600821, 1.8859609160740394, 2.0112392194115762, 1.990401981634997, 1.9003957265985623, 1.9937973209430504, 1.9473762031541608, 1.9743220729769049, 2.010508764109697, 1.9715508928639867, 1.9457234745425267, 1.946667049407231, 1.9661646947177571, 1.9109351635794338, 1.9724793475387221, 1.9152804598710162, 1.9910379367335784]",0.07248365879058838
100,100,"[0.000890859200687033, 0.006320895487644616, 0.007589923311882736, 0.00757361258606403, 0.0003568758645482468, 0.019175584497163913, 0.006324388124708371, 0.008234070295041584, 0.01085761287207589, 0.0013589313519799511, 0.015114405384000081, 0.008741976130999949, 0.0037082331085797884, 0.002022478629541293, 0.005587973214617294, 0.01589695445588816, 0.0069630792609032665, 0.0025167224386003265, 0.00403468938752185, 0.006731897336055112]","[1.9462735320564315, 2.0170899124295025, 1.950557635619723, 1.8853602483375236, 1.9536674130861507, 1.9764331284033, 1.9762101315688532, 1.9488382808606908, 1.9549373510399282, 1.9736427668429632, 1.94965012737122, 1.969508281223601, 1.945003479561919, 1.9709097050391216, 1.9498854285902583, 1.9716249383639401, 1.994760384780232, 1.9827698937017482, 1.948157125865348, 1.9943372068886607]",0.0718149185180664
