m,s,min_svd_list,max_svd_list,avg_time
450,330,"[0.5446155789254357, 0.5106697516741386, 0.5531922191759173, 0.5455207575506752, 0.5519425994211777, 0.5417889051915699, 0.5353113672337193, 0.5462527848482097, 0.528338622670968, 0.5258219365248185, 0.5278757228518125, 0.544147701246333, 0.5469526331222732, 0.5502503214990067, 0.5271239910383433, 0.5409900016129884, 0.5562330416730048, 0.5518981559936241, 0.5312377005250881, 0.539687879702523]","[1.4421985653949347, 1.4764756489515531, 1.448038159595267, 1.4532470100431065, 1.4474158621695339, 1.4514731834658612, 1.4411678983307519, 1.4573307214694702, 1.4414946366034593, 1.4741323218206175, 1.4332763027979283, 1.47447031085179, 1.457705302771534, 1.4428974390395213, 1.4273913694506932, 1.4595541497067381, 1.459703058379527, 1.4763615401370096, 1.4622695815189295, 1.4430141454753058]",0.15989201068878173
450,335,"[0.5337189360913606, 0.5345156849433508, 0.5374574413610154, 0.538405910905794, 0.5302029519570699, 0.545621372502252, 0.5442159002943425, 0.5377110420245522, 0.5307700299078562, 0.5360602225162112, 0.5264419695834089, 0.5530149397795274, 0.5595137411045643, 0.5541895693868935, 0.5396648377568014, 0.5383417748656607, 0.5466861468862529, 0.5465047343026485, 0.5392409553015021, 0.5394378777871711]","[1.4494426108083927, 1.4442362938937943, 1.4597811427074114, 1.4719489487942483, 1.4447291696153077, 1.4686207783990786, 1.4574550322462019, 1.4487732493048286, 1.458634316386693, 1.4472910377538515, 1.4630896372558955, 1.4479277176589995, 1.4520977632602468, 1.4282978897377452, 1.438569370271174, 1.4471122664428433, 1.4422799018027064, 1.4581138559694806, 1.426024343723407, 1.4488432612260087]",0.14757684469223023
450,340,"[0.5408079323204504, 0.542332517479784, 0.5491857502560855, 0.5408848277952174, 0.5459901870061142, 0.5498250211590496, 0.5601450660718833, 0.5445652565301665, 0.5267642719245123, 0.554785921026163, 0.5286896547392826, 0.5459337858985563, 0.5498670079132585, 0.5518410336079882, 0.5434120687618791, 0.5322351119063073, 0.5485727715194494, 0.5455307645930069, 0.5384503484946286, 0.535213192717641]","[1.4810651780454474, 1.48983045380676, 1.4370900129932458, 1.440823243433534, 1.434643363352783, 1.4671858751462148, 1.4454746664458291, 1.465101494229531, 1.4556732732189752, 1.4753382017374315, 1.449427546939059, 1.4616949885403394, 1.442122259264651, 1.4719501842608205, 1.4671291252698613, 1.4544679282269724, 1.4406701804210538, 1.491206859500742, 1.468310387784546, 1.4335846327650534]",0.14061460494995118
450,345,"[0.547474037963754, 0.5388532383290292, 0.5503294713363327, 0.5384492216235943, 0.5289996341310145, 0.5516304147216639, 0.5448940419803742, 0.5469321392308829, 0.5317686476833899, 0.5320121952783793, 0.5342153673518497, 0.5396558840699145, 0.5322506627650085, 0.5403372934355469, 0.5321921579833915, 0.542261847830751, 0.5296222181184217, 0.5443404711079982, 0.5396184518571032, 0.5432313132464327]","[1.4625994519910954, 1.4606267470054863, 1.4269231219933394, 1.4447651113799398, 1.4679715355980998, 1.4501473075671283, 1.4581517200537326, 1.479500347269553, 1.4616540875517954, 1.4377917675663525, 1.4590671896895606, 1.4505296070701588, 1.4453393639890038, 1.464472408261425, 1.434350489993957, 1.4496239580397674, 1.4594526176178424, 1.464403544461059, 1.4612162331047784, 1.4602288490397828]",0.13325228691101074
450,350,"[0.5260841134798334, 0.5446359298069128, 0.545041409103516, 0.5400896188490291, 0.5110027690279311, 0.5477430792369088, 0.5164219234227396, 0.53185466475543, 0.54621039651286, 0.5391099558443591, 0.554073507599685, 0.5356175729912908, 0.5324824365783516, 0.5503224789164529, 0.5497630052053123, 0.5486329849566617, 0.5213608072002746, 0.5351587207349288, 0.547430460078106, 0.5321546445745965]","[1.4500781341145124, 1.4800452774529578, 1.4660540135937379, 1.456967253107039, 1.459322758050578, 1.4739514952089037, 1.460901883602067, 1.4577693397256186, 1.4493667573560147, 1.4534886708267898, 1.4547823575234025, 1.4585508743341429, 1.471419343738507, 1.4286968450137982, 1.4529945479189479, 1.454402079338223, 1.451022060594206, 1.4663473362421509, 1.477765478538863, 1.4520937200121724]",0.13755942583084108
450,355,"[0.535628704463643, 0.5453389320164571, 0.549353958003573, 0.5491540453121118, 0.5564614212654897, 0.5465367078951954, 0.5357357636696806, 0.5475884043365684, 0.5395497757174268, 0.5060200984902711, 0.5523215879863558, 0.539497765781069, 0.5271345029328998, 0.5097111546235432, 0.5498696726214695, 0.5393217538581877, 0.570003935805732, 0.5386039454436579, 0.5649098875944627, 0.5382780654833267]","[1.4602874858978685, 1.4410977168661119, 1.4608904700547918, 1.4436885187549937, 1.4574656542045277, 1.4688681397276007, 1.4628349910947558, 1.4656017694222536, 1.4392839280708898, 1.4438905184665227, 1.4552338140573884, 1.4609516774103941, 1.4576416595698147, 1.4335352937361845, 1.4529365381711974, 1.4361867740922052, 1.4405414770484097, 1.4539748552632126, 1.439867046700436, 1.445039333032622]",0.1420259952545166
450,360,"[0.5248033854124334, 0.5372710091851103, 0.552143974680296, 0.5374989521753094, 0.5290566154021741, 0.5422097195208991, 0.5518677402968613, 0.551181097300543, 0.5326231997643861, 0.5398521519691466, 0.5425082289591143, 0.5398847942796113, 0.5537027311029011, 0.5371212966905186, 0.540636929565248, 0.5250640064277586, 0.538566062728514, 0.5261692042902093, 0.5383419679962156, 0.5187735287885613]","[1.4516118031011878, 1.473270408008514, 1.4652346866426942, 1.4742567877922357, 1.469385660874078, 1.4589834935394472, 1.4586921390841567, 1.4423611789426483, 1.438095188466322, 1.460278319834854, 1.4508713235931336, 1.4554236380652923, 1.465339484875864, 1.4308644903196615, 1.4450105226671068, 1.4398932111370086, 1.4731220294594476, 1.4938772623525596, 1.4246964431319964, 1.4647029895552015]",0.1456201434135437
450,365,"[0.5354514424692092, 0.5247305609225187, 0.5520933079254219, 0.5228997394430008, 0.5302893457406069, 0.5442121864397419, 0.5357564255526978, 0.5396757910473018, 0.5427246568744422, 0.5432126322067757, 0.53550407252445, 0.531708198469792, 0.5445056595576251, 0.5218327570331497, 0.5394355045187903, 0.5323410512082877, 0.5226044572257311, 0.542553169018334, 0.5592101776046442, 0.5524347874447828]","[1.4427294683921534, 1.4655050185870742, 1.4710447582922301, 1.4458107550472132, 1.4533613704294366, 1.4506193459523213, 1.4606121130188454, 1.4312123997549593, 1.4453861544393718, 1.422883344045607, 1.4968219224374877, 1.4431658589673806, 1.4392632592027326, 1.4494164442886768, 1.460422710285149, 1.4698823726485508, 1.4395253072650753, 1.4312858203405017, 1.48557684089059, 1.4325098112181318]",0.13760484457015992
450,370,"[0.5528441057340092, 0.5280670915714483, 0.5335116531989457, 0.5537195476306394, 0.5402069249232943, 0.5376322903315425, 0.5076391813521053, 0.5378484497590911, 0.5336298282909746, 0.5310942765127264, 0.5457263193558298, 0.5238740847366797, 0.5396775333519861, 0.5427644742945154, 0.537163764729639, 0.5462931993352483, 0.5404793217773867, 0.5489091519524516, 0.5347621806668531, 0.5323896453980014]","[1.4474274981306474, 1.446930980112305, 1.463269542165669, 1.4419509921854634, 1.435813075812708, 1.4861449737309749, 1.4456580595228314, 1.4134002738305929, 1.4839003245154083, 1.4483074843296648, 1.450424718091863, 1.4641358340407271, 1.4507853969121953, 1.447970849082116, 1.4679502809317537, 1.4490945984100478, 1.5075160522213575, 1.4592284669250637, 1.4627309744615289, 1.4551393421730594]",0.14088687896728516
450,375,"[0.5503758727192333, 0.5176807091774306, 0.5339122688283745, 0.5313671689899201, 0.5543018827486329, 0.5412494484474991, 0.5380967570637094, 0.5517074439760731, 0.5394370623205352, 0.5465844913994445, 0.5320295949203748, 0.5111163279358911, 0.5437112438050575, 0.5444262463774916, 0.5384241274716277, 0.5402305965253013, 0.5406854825194616, 0.5600108229622212, 0.5134848284058354, 0.5585926503367433]","[1.4770146775807433, 1.4514455096250007, 1.4503053619168107, 1.4493647880988034, 1.4810897603119926, 1.4742662860257016, 1.4442597000318909, 1.4524524879011347, 1.4416105447697698, 1.466067396376511, 1.4702351010733552, 1.4501803555283173, 1.4636458170027447, 1.4551007691713806, 1.4542991328511465, 1.4451068913601877, 1.446885116897874, 1.456511924539161, 1.458335220408698, 1.4426110703201194]",0.13902848958969116
450,380,"[0.5243311185350472, 0.5516869592807109, 0.5567071448779723, 0.5409872156401837, 0.546535533861292, 0.5394501154982388, 0.5481734414586894, 0.5312438738641683, 0.5324754808617971, 0.5314897822119956, 0.5443354731115857, 0.5293637476853912, 0.5313599649702545, 0.523913841430186, 0.5445824967284074, 0.5092364705308743, 0.5299887584721235, 0.5350982227350741, 0.5327279744034097, 0.5425632958115628]","[1.4563497003357113, 1.4274639983588069, 1.44758558570164, 1.4504264458102614, 1.4768788621421531, 1.4628617921925544, 1.4719375901877887, 1.46092780802442, 1.4482453495734458, 1.441699700083237, 1.4392213795897135, 1.466074172319182, 1.477345583813845, 1.4452485229554053, 1.4488095921024295, 1.4686174842862976, 1.4386966680744395, 1.4738693534681477, 1.4419234146152102, 1.46026975530827]",0.14657924175262452
450,385,"[0.533363880806343, 0.5501381312038987, 0.5423222991581486, 0.5504407539502717, 0.5348231381673162, 0.5311333858424365, 0.5315303736276739, 0.5306422607673993, 0.5383966353304521, 0.5573046515282204, 0.5478542995502752, 0.5442324788855308, 0.542501654634015, 0.542364445959876, 0.5312914472045861, 0.5121211502136568, 0.526083636558645, 0.543185272574864, 0.5412039938340483, 0.5551306363690494]","[1.4849663166756093, 1.462599387570349, 1.483765851191293, 1.4660497772400656, 1.4934819897000153, 1.4679516355467865, 1.4768494883157592, 1.4501874521934959, 1.4521304814195832, 1.4460942815436884, 1.451601550991205, 1.4685153758920069, 1.443711134748908, 1.469666041417592, 1.4732029513120826, 1.4528298218226767, 1.4659532295573194, 1.4372358819731328, 1.4487841275542956, 1.4418241425750549]",0.14335910081863404
450,390,"[0.5377194468398331, 0.5508495948568612, 0.538062494234692, 0.5488771302904164, 0.5599350277654233, 0.5298813500425781, 0.5333502488415331, 0.516342107020889, 0.5348902372552393, 0.5509455660850113, 0.5351983209275988, 0.529295050050958, 0.5396214906316047, 0.5599574503599771, 0.5430005607359848, 0.542472498495124, 0.5477538895594549, 0.546130988324031, 0.5460510856242271, 0.5467416592222746]","[1.4458705405689942, 1.4397117560580885, 1.453825587465988, 1.4483969968972041, 1.4663208751190875, 1.4590342947756587, 1.4872100551396408, 1.436802146851783, 1.4594320617200882, 1.4524665591586923, 1.4296171155482313, 1.4549101601885728, 1.4802273786886089, 1.4282341886170675, 1.4691416691895858, 1.4437122039118242, 1.4747769654049372, 1.4633255662410722, 1.458325459997574, 1.45301040425487]",0.14603281021118164
450,395,"[0.5269720966848708, 0.547776714720676, 0.5306531145168107, 0.544958303304745, 0.558514115621655, 0.5495793437714656, 0.5389546018932576, 0.5311349995804385, 0.5593500536714636, 0.5362888020164877, 0.5433443780029362, 0.5309097631555517, 0.5390977296679822, 0.5413011191099665, 0.5537807859790175, 0.5243358245957536, 0.5316720901390682, 0.5413722555953181, 0.5317962782018525, 0.5381026795615729]","[1.460562341278273, 1.466795809945832, 1.4230712845572995, 1.466116001892885, 1.4468268641641728, 1.4347962411354525, 1.4373017215180128, 1.455187887515118, 1.4505689000295745, 1.4574704170786892, 1.4404914854318953, 1.483922923477136, 1.4373168104168972, 1.454454630753531, 1.4472486818235657, 1.4817734953199122, 1.4810840904505782, 1.452646909378078, 1.4450267159211256, 1.446307195176636]",0.1451381802558899
450,400,"[0.5406669769848932, 0.5458016412647693, 0.5415441241604422, 0.522569828036507, 0.5553414253339918, 0.529545988722911, 0.5282792211797134, 0.5390072976300581, 0.5451827374650798, 0.535503207358039, 0.5274210943126519, 0.547738130605608, 0.559710925959506, 0.5509006057153197, 0.5555767756856584, 0.5345605917525552, 0.5360780939187038, 0.533787480736, 0.533167445021515, 0.5521480460491228]","[1.4364494908632404, 1.4579161293456828, 1.457175933440109, 1.454821829335232, 1.4776570150822101, 1.439657291853485, 1.4367621657783574, 1.437492224144341, 1.4532219868951723, 1.4405897265108145, 1.4559436402783845, 1.4505388946359434, 1.4419070168392136, 1.4340700701352602, 1.4635132883845496, 1.4615153611951768, 1.4963827856795264, 1.4624967678328544, 1.463636866517536, 1.458979957533403]",0.15317671298980712
450,405,"[0.5377299268943619, 0.525335041557626, 0.530547579050049, 0.5473297986517249, 0.5322539333398112, 0.5374423846057215, 0.5439239165218387, 0.5142971304655594, 0.5590495593560021, 0.5380444869310826, 0.5254468502107624, 0.538397743817142, 0.5589347407789905, 0.5358292647991795, 0.5518480737508837, 0.5351495270036961, 0.5531051443549828, 0.5394882084694902, 0.5498234822836456, 0.5425022993075467]","[1.4735930846040934, 1.439582964683256, 1.4584242587150151, 1.4361008186363915, 1.438133301540825, 1.4855566768699726, 1.4291418391242876, 1.4445147490303403, 1.4897344810122495, 1.4568888593591864, 1.485241881491225, 1.456557275108338, 1.46404482640086, 1.4751322527768873, 1.4487934419220212, 1.454722685789984, 1.4488174871793986, 1.4672714328688625, 1.4486154903038888, 1.4261179781106725]",0.14906952381134034
450,410,"[0.544069135849702, 0.5452207639197676, 0.5302926753120314, 0.5420902129645221, 0.5401115767441579, 0.5324075940977615, 0.5381295966639338, 0.5532390813777565, 0.5526391244301683, 0.5314973126715467, 0.5458637467121089, 0.5173017852195462, 0.5551360710126184, 0.5521926587125413, 0.5475757527415873, 0.5401144559528437, 0.5429297587428359, 0.5351712669189314, 0.5423091527860375, 0.5268575588454506]","[1.4904629243146386, 1.4455724984350589, 1.430704956232554, 1.4674183946869561, 1.4295530332817425, 1.4459645503257217, 1.432379635047106, 1.4614943749530924, 1.4521936587265603, 1.458999335429046, 1.4546744180253983, 1.4388661480401217, 1.433279799825459, 1.462975116777304, 1.4778818471098514, 1.4633696315522096, 1.4718659884442358, 1.4424192670123643, 1.437605142972468, 1.469673203167391]",0.15222606658935547
450,415,"[0.5407367399378805, 0.5215601151592829, 0.5343964975600789, 0.5454166221878095, 0.5535003468049652, 0.5359487250099036, 0.5498437443578558, 0.5272989207532556, 0.546033111910038, 0.5416988175734426, 0.5463184776910717, 0.5554417972211225, 0.5436145905998819, 0.5534890523152648, 0.5458223400959357, 0.5574621848994697, 0.5168036425720395, 0.5505963346352503, 0.5343773872656249, 0.5546417748223128]","[1.4541611660649083, 1.4941300606598755, 1.4671589867119705, 1.4560382711738802, 1.4351957190516569, 1.4269412497889127, 1.440684737174121, 1.4755152190790652, 1.4376573960253083, 1.4367250168515708, 1.4404757571319078, 1.4410962775833804, 1.4430207905059287, 1.4913405438658627, 1.4310233569076223, 1.4590420629708345, 1.47314700201346, 1.468245384999548, 1.4590311662490165, 1.4451564613470458]",0.14928747415542604
450,420,"[0.5433421622899783, 0.5609746982545052, 0.5343806087172205, 0.5487954697355046, 0.5326698961056985, 0.5548810083009605, 0.5409943124041033, 0.5499818446521676, 0.5081078054996176, 0.5620544464691206, 0.5459608977516472, 0.5445518918788325, 0.5366722322925847, 0.5463458612511521, 0.5460629620150963, 0.5473038854945034, 0.5541720817757582, 0.5323121061246373, 0.53891224006817, 0.545161826965867]","[1.4379491147518877, 1.427394301634795, 1.4359154950020672, 1.4864409250323256, 1.4472294702134052, 1.4386577775809075, 1.4694843313472226, 1.4580882091153853, 1.4385431028147848, 1.4735881406373301, 1.4555348733868847, 1.4425065818043408, 1.4437124978790887, 1.4688718056753014, 1.4555776636853812, 1.467766477844866, 1.451988214025475, 1.4489894147515894, 1.4598621423017075, 1.4816543649025014]",0.15267981290817262
450,425,"[0.5548773622980048, 0.499201139726758, 0.5386040582168838, 0.538346126014741, 0.5402074523758471, 0.5440272645468722, 0.5093052499134308, 0.5372303227057117, 0.5519179598489651, 0.5604633478481432, 0.547939087077516, 0.5237445197436156, 0.5208065085537501, 0.5527494190947781, 0.5485637348316411, 0.5494504669156544, 0.5256513695852695, 0.5557098952680259, 0.5521941925884128, 0.5334413729245999]","[1.4350906425452614, 1.4224585162444494, 1.478618576821692, 1.4548914790848937, 1.4548078567334208, 1.4617529997727499, 1.4341750460289742, 1.4435963922620756, 1.477946332914385, 1.4554708427193208, 1.4625878251542763, 1.4534457535539966, 1.457577614219455, 1.4118144503946164, 1.4645387274631279, 1.4704693376988938, 1.4490301634604354, 1.4560962679326737, 1.459603158302078, 1.4465965924218331]",0.1551601529121399
450,430,"[0.5413154392501275, 0.5569040081831771, 0.5233690224084321, 0.5572423118675609, 0.5412067376022687, 0.5360999201630503, 0.538695624181764, 0.5559968033432364, 0.5114515478530968, 0.5315496034905308, 0.5485905924682115, 0.5494931404742142, 0.5351937157617077, 0.5433945388638144, 0.5291732781079745, 0.5574283825909334, 0.5412093460420486, 0.5370715374426105, 0.5301397745152153, 0.5432505286624254]","[1.4580302631398154, 1.466171145215892, 1.4490083030879786, 1.4439401528633233, 1.4796326187726712, 1.4798326268317463, 1.4528001124021936, 1.4655959756546255, 1.4424505543830104, 1.4544081368765154, 1.4373140324424487, 1.4625235120838975, 1.4394248814386208, 1.448773523183957, 1.459717339872895, 1.4448059913147837, 1.4631711501893365, 1.4637237240703134, 1.4168634672556981, 1.450158211261142]",0.15292229652404785
450,435,"[0.5353536182253684, 0.5310943687860464, 0.5247641827354521, 0.5594701343296613, 0.5364521358763615, 0.5385562876120598, 0.550148741267017, 0.5360478482576377, 0.5368043796126242, 0.5424097102507339, 0.5337720179235141, 0.5377009719056219, 0.5308120207792454, 0.5405031419603655, 0.5041692642982878, 0.5447697964647849, 0.5511015561892638, 0.5584846623534905, 0.5442445871346202, 0.5592099054960179]","[1.4477669480870852, 1.4650969430946683, 1.4905001556254913, 1.450723184640327, 1.440273089550444, 1.439831241734591, 1.4626568597226839, 1.4640956391928521, 1.4595432525534526, 1.443920317055139, 1.4416840115287395, 1.4737433251980039, 1.4220209220363147, 1.4561099425651074, 1.4411306140371019, 1.448338540309657, 1.4795092084386798, 1.4325968695917632, 1.4522719375264104, 1.4800199322936582]",0.152039098739624
450,440,"[0.546456198126372, 0.5140560947957293, 0.5524464642694848, 0.534812762798966, 0.5351382640103569, 0.5526570175511821, 0.5471651672237222, 0.5397248306521238, 0.5395167305271894, 0.5303130140164679, 0.5461449923160795, 0.5410423401236364, 0.53390354721162, 0.5397524891929417, 0.5350484597149002, 0.5444075407201466, 0.5634201584020471, 0.5643231359136059, 0.5322466386700037, 0.5272981252787403]","[1.4419259827564295, 1.4434791889953285, 1.4591040607701335, 1.4422896136344707, 1.445888513679696, 1.436789945877176, 1.445351919440901, 1.4504319862009816, 1.4575552505277838, 1.4704988041950187, 1.4649557294826634, 1.4301525443162746, 1.4496369645494662, 1.4581819826218108, 1.441164886242943, 1.4435527095866147, 1.4581912429726243, 1.4530424530162205, 1.4441472329894876, 1.4646301814752052]",0.17434290647506714
450,445,"[0.5361753773734668, 0.5460059609883183, 0.5500228103981696, 0.5624621940902353, 0.517017121378537, 0.5352881085722507, 0.5184289382165634, 0.5282776800234071, 0.5423837735161242, 0.5277201193977024, 0.5555446852198532, 0.5358106955707651, 0.5489142128785389, 0.5341062239027687, 0.5336924434292021, 0.548445188118716, 0.5560314810732699, 0.5217198873381658, 0.5510323646396115, 0.5683812226707308]","[1.435555509151944, 1.4666542643996061, 1.4785084665810004, 1.443236511420895, 1.43246057568495, 1.4689197018909848, 1.464107339005606, 1.4457996160606532, 1.446504456416843, 1.4251298163422628, 1.4758972218705102, 1.4558099825187554, 1.4505847446886355, 1.4711784522081668, 1.4618681699556066, 1.4557686397699832, 1.451785254672832, 1.4439504954664273, 1.4387246082814298, 1.4394465040152746]",0.17317600250244142
450,450,"[0.5409201099137413, 0.5512643532204429, 0.5381577666786183, 0.5518123199737828, 0.5431097008760942, 0.5326755529841031, 0.5478266301228912, 0.5418041060246498, 0.5472326436586168, 0.5350472580297219, 0.5493687117682352, 0.5493354038504391, 0.5444279933345931, 0.5495972137102709, 0.5454416142344366, 0.5443593568929023, 0.5355190076435246, 0.5473784157571393, 0.5138636285171752, 0.5463469131233101]","[1.4483953136517145, 1.4623041187647445, 1.477189839630662, 1.5067956244842176, 1.456945048098553, 1.42879429907087, 1.4495323977587689, 1.450013895729346, 1.433794229139564, 1.428145960991662, 1.440319111303637, 1.471458896788551, 1.4495096233593745, 1.4666896878792877, 1.4663810131284691, 1.4542667334516237, 1.4359021173483926, 1.4640280835411579, 1.4367033526443898, 1.4669055148779973]",0.15848566293716432
500,5,"[0.5536276372046318, 0.5681976750138029, 0.567770630546117, 0.5594732856178726, 0.560869803510644, 0.563360709230775, 0.5591009151657379, 0.5670178097931887, 0.5599398244133298, 0.5520947870167591, 0.5718163185383868, 0.5753970461077904, 0.5357010570676648, 0.5701314739602906, 0.5764772442180573, 0.5562569465947222, 0.5624680910814354, 0.5607321139115131, 0.5585312745906055, 0.5536674989948963]","[1.4071789459446082, 1.4228968745673451, 1.4125641779987832, 1.4246356329297258, 1.4195047281758413, 1.4351399566224567, 1.43484168887063, 1.4255220282800127, 1.4513825527037623, 1.449634556164258, 1.4428172711009608, 1.4510386482953614, 1.435890094909615, 1.4171281600416938, 1.420305160504478, 1.4184286617949875, 1.4335997212826646, 1.4343506887551125, 1.4106918732375504, 1.4280655078154216]",0.06550503969192505
500,10,"[0.5630623212222149, 0.5732320511353557, 0.5674624890625232, 0.5682312658921546, 0.5401790876861398, 0.5383993581252362, 0.5646095200800149, 0.55183167323934, 0.5644257081002343, 0.5634670577800344, 0.5802322013128893, 0.5738203485886512, 0.5626113802406906, 0.5524527229949564, 0.579742630106874, 0.5578489800675328, 0.5548685233808953, 0.5824475398930347, 0.563679616785765, 0.5468309708388157]","[1.431802206279808, 1.4231257040712104, 1.4337144839496008, 1.4036289201869545, 1.448330868870278, 1.4550938051291262, 1.420658545046879, 1.4498070344134668, 1.4225966375617642, 1.4310001704470887, 1.4512338510108513, 1.438250759609063, 1.4168216607519324, 1.4389133323710965, 1.4069923465432899, 1.4591628712501103, 1.4246457413777096, 1.4126776442972586, 1.4373323944078358, 1.449412870298938]",0.07351405620574951
500,15,"[0.5552753984716687, 0.567817940697649, 0.5835693162039002, 0.5681866922441149, 0.543373151208374, 0.5644906577580265, 0.5736957346686913, 0.5586325144086867, 0.570988778507985, 0.5748327754843706, 0.5898020536701523, 0.5647149403669154, 0.560251138236649, 0.5663727315837472, 0.5669917822331125, 0.5683464191335548, 0.5719797705611975, 0.555085764639052, 0.5586716351550203, 0.5443851517907248]","[1.4416438606384543, 1.4274293272206113, 1.431586722585435, 1.4158649736151798, 1.424709335148988, 1.4210511524056162, 1.4242750675486486, 1.4323299956782307, 1.427967458775819, 1.4193162715839303, 1.4313430509389, 1.4542252323689822, 1.4318529845790122, 1.4517133479213318, 1.4144216508125418, 1.4477262576948675, 1.4054525485186624, 1.4342092303834708, 1.4258713539220185, 1.4343128541087795]",0.07063682079315185
500,20,"[0.5640290766028156, 0.5619534669089666, 0.5619131822068395, 0.574271706743006, 0.5368212147265157, 0.5527263488525687, 0.5694237777634181, 0.5828934224537616, 0.5609891938453028, 0.5726128057623571, 0.5850220079285191, 0.5574690719400078, 0.5600699381039328, 0.5743242504101378, 0.5651908311398218, 0.5509130231492362, 0.5542731836540378, 0.5486480160354591, 0.566355462663773, 0.5721867678869086]","[1.44190021371777, 1.4228608487099625, 1.4260503190343692, 1.4302969832753574, 1.4304971122491, 1.4320513262046628, 1.4430191785464084, 1.4600187435351366, 1.4478250644781456, 1.4235485033654673, 1.4109835737666658, 1.4420425029826363, 1.4151135571116615, 1.4411298643328585, 1.436353107069769, 1.4205769300397546, 1.4314946278640874, 1.4361119523378894, 1.430557866943282, 1.4121006806422758]",0.07341287136077881
500,25,"[0.5576842057172143, 0.5616693059835592, 0.542105130844425, 0.5803973472732759, 0.5551659125052549, 0.5392066282297805, 0.5704592023307224, 0.5558475746406567, 0.5714562213298278, 0.5485409091837141, 0.5446995043574664, 0.5538467276556637, 0.5612925341711251, 0.5775522242510096, 0.581603594087268, 0.560761894171556, 0.5604578438623824, 0.5616872207473224, 0.5650347371874397, 0.5782594431560075]","[1.4179299522986868, 1.425695000927542, 1.4636533812772587, 1.4450821348169416, 1.4422905740402714, 1.4379586569273015, 1.4312455024678332, 1.4260305354258576, 1.454007343138881, 1.4321936467031182, 1.4207761490922362, 1.4143108094466437, 1.4034598297431062, 1.4109674747351284, 1.4283254192013786, 1.4115916125371497, 1.423680693563136, 1.4266294443102303, 1.4098401228013493, 1.4337332416361326]",0.07487483024597168
500,30,"[0.570259323228679, 0.5711442943004739, 0.5708459622398864, 0.5593171820320199, 0.5600293717574267, 0.5636753708598689, 0.5749623215927743, 0.5760276977899954, 0.5630555643666113, 0.5552915326675679, 0.5726422933671973, 0.5687263160972139, 0.554000695716792, 0.54057312698808, 0.5744103774483926, 0.5575165827615665, 0.5813608013714138, 0.572184879696066, 0.5735653880795156, 0.5659726567533099]","[1.418351980209206, 1.4390091888937957, 1.438215276976652, 1.4341916776347823, 1.4361956412947852, 1.441492067891908, 1.4642030541991122, 1.4114721227204805, 1.429726215868291, 1.436042869895141, 1.4751869608406556, 1.4190884078785895, 1.414035697694179, 1.4436375712486493, 1.4349725406334175, 1.4467473947135743, 1.4316733648439635, 1.4328557376474622, 1.4329983916747198, 1.4420263917474831]",0.07483562231063842
500,35,"[0.5654536985889607, 0.5676788419930043, 0.5767692521623805, 0.5542569931509879, 0.561811607881676, 0.5353562381491981, 0.573863728602327, 0.5659136508882693, 0.5629955982799715, 0.5739605984558647, 0.5760433741367917, 0.5551479524177881, 0.5459727343652313, 0.5495267971597823, 0.5664958901726198, 0.5838223552154368, 0.5836591838400723, 0.5809309314415109, 0.5584824523946171, 0.5654604076957042]","[1.433849045632177, 1.446796954017468, 1.4305597599038975, 1.4337858429613437, 1.4199090538850616, 1.426514480982247, 1.4483482373629288, 1.4336890463913379, 1.4356454973497523, 1.3998487307160892, 1.4339660303815691, 1.432333415514157, 1.439179642335094, 1.42517937107912, 1.4259665743596273, 1.431147570896667, 1.4088464544658867, 1.4281967260595707, 1.4191953055314699, 1.449505547220884]",0.07772241830825806
500,40,"[0.5454842119909054, 0.5648521066226045, 0.574997337827302, 0.5553366475198968, 0.5584003553203485, 0.5665590211080731, 0.5448891789808302, 0.5838899617969681, 0.5283664581369686, 0.5364999505266493, 0.5442375122428628, 0.5575102696299454, 0.5603438913027888, 0.5553025110758669, 0.5621921838604671, 0.5663645779920967, 0.5882378807704588, 0.5768926813460443, 0.5798883974041907, 0.5765925699235236]","[1.4336958607230308, 1.4339981742047143, 1.4209259127001816, 1.435500794544183, 1.4200085058274299, 1.4325501061407002, 1.4253337902227674, 1.4062201627812152, 1.4228080762082476, 1.4211162288878278, 1.453404500214286, 1.4333962620377834, 1.4319654637373598, 1.4240658604470315, 1.4201827679668657, 1.4166140021568054, 1.402848079222567, 1.4531271524171228, 1.4392913441542239, 1.4310857428178938]",0.07599399089813233
500,45,"[0.5603946417610116, 0.5677010280122262, 0.5663712898845035, 0.5581780459670272, 0.5638469711288903, 0.5780589430750445, 0.5954500946161848, 0.5597237636810438, 0.5736365053505771, 0.5917310703653309, 0.5752606450758954, 0.5510725346360883, 0.5786966279317465, 0.5800883330734035, 0.546459646433004, 0.5990646454737364, 0.5571068191418718, 0.5722718610784435, 0.5717319452095757, 0.565767093506891]","[1.427231360364515, 1.4310385990254624, 1.4216988582937355, 1.4343645949526012, 1.4402499214446984, 1.444018241173885, 1.4393606262444087, 1.4505888680210908, 1.4268228301274628, 1.4283046359588831, 1.4264526734365617, 1.4401822322738111, 1.4373927448439199, 1.4381873219517656, 1.4285009679482312, 1.4396695045225618, 1.4084131656570056, 1.4021024719377229, 1.4037661875159193, 1.4273799312964124]",0.07720556259155273
