m,MSE,Sparsity,Min_SVD_Error,Max_SVD_Error,sketching_error,inv_squared_sketching_error
4100,3.4696804208892767e-06,10,0.441367111384838,1.5768789486584551,1.5768789486584551,0.4021640902173928
4200,2.955751098202479e-06,10,0.4592580628107111,1.553760782811504,1.553760782811504,0.4142205956369995
4300,3.510157027844322e-06,10,0.478261889433089,1.540289749775004,1.540289749775004,0.4214976419989196
4400,3.4704406058122056e-06,10,0.4931046062307982,1.5122621729486774,1.5122621729486774,0.4372661129665395
4500,3.860426343562847e-06,10,0.5239174430217016,1.5047544753873372,1.5047544753873372,0.4416403167363169
4600,2.8266956426697837e-06,10,0.5289431657106348,1.4966788457969793,1.4966788457969793,0.446419091508673
4700,2.493879455071693e-06,10,0.5412905754445403,1.4783717050900984,1.4783717050900984,0.4575438436707365
4800,3.1292912503686026e-06,10,0.55937530416171,1.4552728596220743,1.4552728596220743,0.4721838621207601
4900,2.5466603442332558e-06,10,0.5749759798751942,1.4398102584809045,1.4398102584809045,0.4823801996444766
5000,3.088536598155293e-06,10,0.5919648880012695,1.4432026088365988,1.4432026088365988,0.4801151269631351
5100,2.741058685609998e-06,10,0.6003962640473648,1.418041993302539,1.418041993302539,0.4973038436470645
5200,3.482920840208885e-06,10,0.6135884926785258,1.4032658981263015,1.4032658981263015,0.5078319929926906
5300,3.6593934065027086e-06,10,0.6274493066077833,1.39221911710603,1.39221911710603,0.5159229107273193
5400,3.0432397557042302e-06,10,0.6414054275905661,1.3925548233539031,1.3925548233539031,0.5156741913735514
5500,2.3318515400064947e-06,10,0.6502094289412278,1.356050581332228,1.356050581332228,0.5438112923438878
5600,2.6013417417898524e-06,10,0.6646369221952522,1.3651464617100966,1.3651464617100966,0.5365886774927259
5700,2.839407703562626e-06,10,0.6777733344345157,1.3454346104826254,1.3454346104826254,0.5524268886081142
5800,2.4049613136894603e-06,10,0.6880310430382495,1.3171071897703603,1.3171071897703603,0.5764448440872052
5900,2.4895913355741044e-06,10,0.6992698125253898,1.318856810725212,1.318856810725212,0.5749164128234817
6000,3.046524056780909e-06,10,0.7092638180000792,1.2989554576096096,1.2989554576096096,0.5926680042476195
6100,2.523017840238409e-06,10,0.7220940316411435,1.2944472336875283,1.2944472336875283,0.5968034108328226
6200,2.447496006193878e-06,10,0.7317439884259369,1.273389388062892,1.273389388062892,0.6167051105795304
6300,1.87469273584195e-06,10,0.7402092650188723,1.2739289437587704,1.2739289437587704,0.6161828266774579
6400,2.6081841797365364e-06,10,0.7504512823196802,1.261862671762756,1.261862671762756,0.6280233821270631
6500,3.05488711697581e-06,10,0.7605059314464764,1.263083390924836,1.263083390924836,0.6268100501825615
6600,1.808390492786999e-06,10,0.7718506440014455,1.238616569282748,1.238616569282748,0.6518178197107677
6700,2.999574159276252e-06,10,0.7869138094929345,1.2312346548359367,1.2312346548359367,0.6596572475841401
6800,2.201635991662057e-06,10,0.7943472053042938,1.2241859903265229,1.2241859903265229,0.6672755160226238
6900,2.5602801671008664e-06,10,0.7978242580907504,1.230685389933828,1.230685389933828,0.6602461997747366
7000,2.2537640102363857e-06,10,0.8044549373273993,1.2043933485608913,1.2043933485608913,0.6893873392243497
7100,2.0800671093757627e-06,10,0.8149362213206033,1.1936299687607952,1.1936299687607952,0.701876289649544
7200,2.3194253255511945e-06,10,0.8456111447507957,1.1914379649125846,1.1914379649125846,0.7044612850102131
7300,2.603103854472852e-06,10,0.8289502197149708,1.1860526241162925,1.1860526241162925,0.7108731033786826
7400,2.3724999776642127e-06,10,0.8373456407140278,1.186251042389602,1.186251042389602,0.7106353148966614
7500,2.4417425114413016e-06,10,0.8465411327596492,1.1600935502033534,1.1600935502033534,0.7430430484954877
7600,2.1584475708145534e-06,10,0.8641504322118903,1.1786765108279837,1.1786765108279837,0.7197981769639482
7700,2.3273051777008933e-06,10,0.8627611633992511,1.1547317935101713,1.1547317935101713,0.7499594000423682
7800,1.8149196773809705e-06,10,0.8692706183937349,1.1480471811476147,1.1480471811476147,0.7587182434727547
7900,2.325107918106406e-06,10,0.8781345766017492,1.1397681777706237,1.1397681777706237,0.7697805707574188
8000,2.3631955608924124e-06,10,0.8855311296906968,1.1362348060772982,1.1362348060772982,0.7745756183301654
8100,1.9534325353574273e-06,10,0.8904149481086471,1.132444711358246,1.132444711358246,0.779769033238174
8200,2.8501706177233863e-06,10,0.8955542497777471,1.1316768046812156,1.1316768046812156,0.7808276270011029
8300,2.2080744651738523e-06,10,0.9022770799879598,1.1098614918376422,1.1098614918376422,0.8118250231117702
8400,2.480554410025449e-06,10,0.9096548366618833,1.1075186873178815,1.1075186873178815,0.8152632657529328
