m,s,min_svd_list,max_svd_list,avg_time,avg_min_svd,avg_max_svd,max_min_ratio
1600,1505,"[0.9321160489768094, 0.9117062074683485, 0.9564376364307426, 0.9551447265221761, 0.9350062091535785, 0.9418148593463754, 0.9404618806071958, 0.9434026201436271, 0.9224710593876455, 0.9298150026490754, 0.9450360333426676, 0.9297843347935165, 0.9098587964235841, 0.9513778088003612, 0.9368475659767327, 0.935579512939397, 0.9321444666794211, 0.9135120498588746, 0.9396682114951849, 0.9386971940762058]","[1.0587127578927238, 1.0790064514798545, 1.0661588291726198, 1.0841054209578933, 1.081862698380507, 1.0669602836802516, 1.0930705537410499, 1.0752077770507897, 1.0664666460491563, 1.0696371108938019, 1.0713705966602665, 1.0559268340885655, 1.0901340525013505, 1.0559299510285727, 1.066627238272092, 1.068755481387565, 1.0485731503188438, 1.0647735915715915, 1.0493859960636918, 1.0676240701822532]",0.7008361101150513,0.935044111253576,1.069014474568672,1.1432770515344857
1600,1555,"[0.9328674224832976, 0.9215032333741441, 0.9452608172741959, 0.9467660932742882, 0.9307382819389497, 0.9346441401987932, 0.9360740660576069, 0.9407299152279156, 0.9244632424367809, 0.9254667674114905, 0.9324296941186405, 0.9412989698628463, 0.934725547670457, 0.9495721324513665, 0.9342880211295246, 0.9341356070600341, 0.9229804997486917, 0.9314180895746602, 0.9239750685713622, 0.9315053647430529]","[1.067552535187816, 1.0731638759964075, 1.0544104696908498, 1.0638352297245086, 1.0799596581349589, 1.051183547104812, 1.0691762963565483, 1.0646742738213726, 1.0615701431304614, 1.0450182915616866, 1.0628651977104329, 1.0737067802776556, 1.072893834703811, 1.0509497097938023, 1.0742576550651748, 1.0747460928518597, 1.0711731161785616, 1.068997971562737, 1.0723019911278995, 1.0639847316250834]",0.7286394357681274,0.9337421487304048,1.0658210700803221,1.1414511720709009
1650,5,"[0.9449960862244741, 0.9215962593944375, 0.9584232165479084, 0.9304998293712142, 0.9449596725332835, 0.9415918408331061, 0.933124077703153, 0.9428152790589136, 0.9217336465813527, 0.9485880316315239, 0.9162363582948988, 0.9204626720005756, 0.9438839464369047, 0.9470067501639867, 0.9425146269874141, 0.9482394110176563, 0.9358690295684671, 0.9386495750490073, 0.9239351946733512, 0.9303907038162461]","[1.046643607075672, 1.0570158600711235, 1.0542082677595177, 1.0771353648414062, 1.0477826117385218, 1.0594977956796765, 1.0469711210740806, 1.0577279695586013, 1.052531786943916, 1.0552292646364902, 1.0727933064324027, 1.0667457995633394, 1.038992411076443, 1.0689013102618974, 1.0779662295709034, 1.0555507102390196, 1.084347129847179, 1.0624320700888044, 1.052065784485313, 1.0713511921657006]",0.11487045288085937,0.9367758103943938,1.0602944796555005,1.1318551011784814
1650,55,"[0.9383416096569384, 0.9241081827960741, 0.9341359910688748, 0.9166125797551986, 0.938081351547676, 0.9183295681918265, 0.9217635299633582, 0.9310101249830035, 0.9388953741112284, 0.9244542913550946, 0.9273937156751753, 0.9407648461591156, 0.9214079208587733, 0.9355825747423615, 0.9352840107697452, 0.9468834502480354, 0.9277824196902776, 0.9341047159926504, 0.9296843213579701, 0.9358460865636987]","[1.0627738466447894, 1.0744376712058665, 1.0676944491157023, 1.054803596220562, 1.083309833802293, 1.0686419260646178, 1.0628734429665576, 1.039150714808378, 1.0645299842815363, 1.057437028947732, 1.065378588567159, 1.0549260126299949, 1.0797080521942783, 1.0492778166734242, 1.0554293630973322, 1.070677156600782, 1.0603285955138517, 1.0596086262216688, 1.0842847349295524, 1.0666760364658776]",0.13649486303329467,0.9310233332743539,1.0640973738475978,1.1429330885889082
1650,105,"[0.9140497669056544, 0.9353051169379375, 0.9333041421785069, 0.930338099068661, 0.9406028397170721, 0.9580190185710545, 0.9544163879008457, 0.9416163299572354, 0.9236289812247959, 0.9312112814385464, 0.9281896916550144, 0.9370094626178388, 0.9311310577884778, 0.9448364029899315, 0.9278788174227597, 0.9493972384790262, 0.9126162138809908, 0.9478162610215622, 0.9252067461322812, 0.9296399203739452]","[1.0692819635529873, 1.0759658472935656, 1.0492159519991269, 1.0778068436587582, 1.070831870806234, 1.0727524386696248, 1.0574274197312288, 1.0711826335853187, 1.0637876446204193, 1.0444135467132258, 1.0550161297256437, 1.0656622369924738, 1.0567903624950992, 1.0748960687443285, 1.0662586137685293, 1.0749903926932902, 1.0629148203880772, 1.0614525898960059, 1.0770125309643053, 1.0565456449457442]",0.15667752027511597,0.9348106888131069,1.0652102775621994,1.1394930442169589
1650,155,"[0.9218039651721079, 0.9285164885657331, 0.9221184919570682, 0.9091181578604266, 0.9475638467684304, 0.9180473620007588, 0.9364727421261777, 0.9323121047333082, 0.9503971629736181, 0.9311730187462903, 0.9324648440758158, 0.9295174501063139, 0.9160198223022877, 0.9291239203285785, 0.9417217819335865, 0.9175431380841634, 0.9342876319783435, 0.9404625010811788, 0.9461502348443039, 0.9420924140020588]","[1.0697511667672024, 1.0701377932479297, 1.0566363319123286, 1.0769154967554493, 1.076849078583745, 1.0527587113905372, 1.0884562112063343, 1.0450553282733093, 1.074025081476207, 1.0707838546514474, 1.072273020176066, 1.0621943364002144, 1.058746411902212, 1.0580858710439311, 1.0641123505631385, 1.0573890500565772, 1.04873879716018, 1.056073065416924, 1.0658241488840747, 1.0586840968468216]",0.1716844081878662,0.9313453539820274,1.0641745101357316,1.1426207320257566
1650,205,"[0.9326113101907788, 0.9386018839664025, 0.9392176036460944, 0.9165816131798027, 0.9279883925088455, 0.9395634626616138, 0.9442226163398698, 0.9365151401849512, 0.9202493837237296, 0.9382790285794935, 0.9518851577748864, 0.9403413932986765, 0.9443392385732592, 0.9200017881392768, 0.942865024195766, 0.9347208396951096, 0.9131510599599724, 0.9349950406758328, 0.9226856950824809, 0.9445967370463277]","[1.057525422724844, 1.0516403681582254, 1.07949281438588, 1.0673523387656085, 1.0525008980665889, 1.046288753070906, 1.101035297845149, 1.0893472810472322, 1.0693912683204445, 1.0847763981672285, 1.0694055890439613, 1.0463303899504577, 1.0620965054562064, 1.0699128962218354, 1.0881349073320372, 1.0603161890820332, 1.0787478395423329, 1.0711988868773024, 1.073389031966369, 1.0720325230026284]",0.19579943418502807,0.9341706204711585,1.0695457799513635,1.1449148116132437
1650,255,"[0.9177813211927465, 0.941467765035112, 0.9364284636698816, 0.9498012454370434, 0.9500552065560675, 0.9300237877268639, 0.9470991429401193, 0.9211515406394624, 0.9439879819175715, 0.9339573422758353, 0.924844092950828, 0.9338962745912315, 0.9125286981849506, 0.9249212744863352, 0.9400090291418105, 0.9201924798187596, 0.942413176928165, 0.9401292506006866, 0.9317799080005991, 0.9391468777629595]","[1.07706196800683, 1.0769451291809964, 1.058108261579105, 1.072830846883012, 1.0774031007229798, 1.0592285144903348, 1.0591271639851803, 1.0639961670067957, 1.0625501685188095, 1.0686236963465705, 1.0649338825056807, 1.051658665209031, 1.070479875848413, 1.062396390277535, 1.059255278724402, 1.083782959333144, 1.054351785764628, 1.0748698079603116, 1.0539769329176818, 1.0632860711590346]",0.21081624031066895,0.9340807429928514,1.0657433333210238,1.1409541855089715
1650,305,"[0.9309490299444465, 0.968088207078594, 0.9510202869564244, 0.9347544417912965, 0.9436102526605348, 0.9339249144231968, 0.9377709940978651, 0.9452971030833751, 0.9375554562563578, 0.9337610665423222, 0.9435603636643487, 0.9199661639591242, 0.9300565393902946, 0.931639266868944, 0.9293556560578514, 0.9398749401239475, 0.9365939242157468, 0.9337255497010335, 0.9451340640060363, 0.9303039052987057]","[1.0668455160398835, 1.0532260977124337, 1.0599728590212711, 1.0681535209200508, 1.0778841460689856, 1.0774075442813527, 1.062679990256535, 1.0773281661758045, 1.0723875750389413, 1.0658363819654024, 1.0594942572342065, 1.0829791313035109, 1.0830445336467824, 1.0737726238129408, 1.0711230213062186, 1.0919325918772447, 1.0833650627793603, 1.050874516985706, 1.0575253955850807, 1.0536717676533485]",0.23085992336273192,0.9378471063060225,1.069475234983253,1.140351372619451
1650,355,"[0.9337251309882006, 0.926154420391582, 0.9469186569637924, 0.9316008762631893, 0.9257089539414982, 0.9397809543857573, 0.9374337548397539, 0.9240580509395167, 0.9330099335248818, 0.9354976342081933, 0.9384587077739256, 0.9384254163310476, 0.9451273541621996, 0.9299551498991471, 0.9292982044756973, 0.9526415490176027, 0.9466514716191161, 0.9329135512148801, 0.9190322548129598, 0.9509800331475037]","[1.0789758757454198, 1.0695413244314518, 1.0771144369769454, 1.0456609501324474, 1.0868782881663044, 1.0684351344322944, 1.0679150689779457, 1.079518741750912, 1.0556785952206102, 1.0721953473817465, 1.059172356866115, 1.0697107839120668, 1.0515104897287824, 1.0504601412420334, 1.0568753681887568, 1.063868672289585, 1.0610982680343866, 1.0602114718137228, 1.061900960508642, 1.0618894015448217]",0.24668548107147217,0.9358686029450223,1.0649305838672494,1.1379060912141838
1650,405,"[0.9226289388561022, 0.9432751336405298, 0.946031000025721, 0.9212777726966991, 0.9405017385676459, 0.9418576195512969, 0.9320509359263525, 0.9136444646283651, 0.9233212607913296, 0.9350545315175983, 0.9293381591540626, 0.9337446154163003, 0.9412687936413108, 0.9255181940848791, 0.9432432451650016, 0.9157819218628056, 0.9277740848003987, 0.9277721900733135, 0.9486041760209982, 0.9233489453085324]","[1.0625519328135309, 1.0582460360435144, 1.065742275878835, 1.0630218259459745, 1.077202200684006, 1.047690135207642, 1.0594181104658267, 1.0646783050765525, 1.0560373542148402, 1.0516907896375118, 1.0645646042509886, 1.059461513288503, 1.0634580408294874, 1.069324702890209, 1.06638890720212, 1.0710035083897442, 1.0485573713471241, 1.0735636181657404, 1.0498411541188137, 1.0640913033324704]",0.2667219161987305,0.9318018860864623,1.0618266844891715,1.1395412483535627
1650,455,"[0.9260409165559482, 0.9094620225013365, 0.9356852880448205, 0.9389009826464921, 0.9361271458474587, 0.9289903212428338, 0.9373888224081117, 0.959866143481685, 0.9284572830569415, 0.9406713068944274, 0.9260062542302021, 0.9222077579493245, 0.9122564121727145, 0.9193349010467367, 0.9326254577200038, 0.9388474500249954, 0.9379102242367687, 0.955304549634689, 0.9390753060105969, 0.9388829498986573]","[1.060012904369533, 1.0748817824569887, 1.062545806533544, 1.0642261641503412, 1.075293233070178, 1.0525598726483612, 1.055910768451008, 1.0805115090046797, 1.0858346751693797, 1.06615547929219, 1.064450831514988, 1.081514411234761, 1.076275124828525, 1.0572076432598045, 1.0797913485049482, 1.0765916937816822, 1.0850503498110695, 1.0576440990352962, 1.0845922396440661, 1.0660850251640386]",0.28490387201309203,0.9332020747802373,1.0703567480962692,1.1469721049948705
1650,505,"[0.9281894306708244, 0.9584716976876032, 0.9502718443402143, 0.9496576279355416, 0.9397997927698107, 0.9371077332260325, 0.9277886537656489, 0.929110751538412, 0.9295714927735876, 0.9422878133815737, 0.9460278001446687, 0.9166039976943805, 0.9210682211454438, 0.9337169683886625, 0.9169350616037611, 0.9482218961433835, 0.9522179744412452, 0.9186916431072073, 0.9384837514293128, 0.9313231663458155]","[1.079265465921069, 1.0679779956628483, 1.0582567662263125, 1.0617169329197962, 1.0613068681370874, 1.0862397620598139, 1.0672315270807176, 1.066124125764755, 1.0588290990387759, 1.066664829262857, 1.073216333547691, 1.070911458671258, 1.0706809695834005, 1.058581988261843, 1.0607721780892199, 1.0674097827811742, 1.048564592118383, 1.0533297536158501, 1.0582800924580065, 1.092451310824019]",0.3183834195137024,0.9357773659266565,1.0663905916012435,1.1395772439369132
1650,555,"[0.9419317243049082, 0.9296668632811449, 0.919544478419044, 0.941326026665157, 0.9362339783875694, 0.9338133288332667, 0.9406835261335769, 0.9396784206010181, 0.9431534675587652, 0.9471532412176087, 0.933622158664753, 0.9307799053477753, 0.9062978698756103, 0.9342850589109696, 0.9298484467074979, 0.9381187484507827, 0.945134866183085, 0.9296704670982077, 0.9037485237129264, 0.9249309641637738]","[1.0620568458913888, 1.0486993763184014, 1.0795776756017694, 1.0518567892341024, 1.058779370655501, 1.066794441713307, 1.0595960895799181, 1.0638450425124448, 1.0557398542264698, 1.0599341799874356, 1.0617235473320514, 1.056688532528388, 1.0375241838184612, 1.093503283475161, 1.0607385531522588, 1.055362158130815, 1.0605951910896398, 1.0614602648891331, 1.0805469343024794, 1.078407660628013]",0.36162869930267333,0.9324811032258722,1.0626714987533572,1.1396171944687112
1650,605,"[0.9301602126480695, 0.9465145907502883, 0.9232910171022768, 0.9343772038002728, 0.9461784213170058, 0.9443591199104583, 0.9405905412468626, 0.9326103382859017, 0.9036612046419914, 0.9272151564592547, 0.9425281780035498, 0.9456001917122512, 0.9238673440112415, 0.916335498956534, 0.923211570796701, 0.9347809843623522, 0.9251112348853034, 0.9166753410933244, 0.944100544588022, 0.9324782316640682]","[1.0550889903736553, 1.0815940629221354, 1.0583326734458915, 1.0600221851395868, 1.040061176985684, 1.0645656727934465, 1.0705541137075067, 1.0605529678855758, 1.0709177179766127, 1.0567265123246548, 1.0605996243534899, 1.0640312335029747, 1.058277053113799, 1.0627133888410998, 1.049580240275119, 1.0677089501970292, 1.0664705355887465, 1.0581217340593734, 1.0610530761478, 1.0696762343231225]",0.34837132692337036,0.9316823463117864,1.061832407197865,1.139693599864051
1650,655,"[0.938990917058931, 0.9368676752928754, 0.9315374480999359, 0.9377479396832661, 0.9429563188649017, 0.9504325441188552, 0.9426088653585426, 0.9333247664755486, 0.9448426322863248, 0.9154115325529913, 0.9152859969942222, 0.9251589469299105, 0.9415759313446507, 0.9307833667133357, 0.9304408461904802, 0.934714184265991, 0.9305896259472329, 0.9410672646556104, 0.9394464110710716, 0.9279708132917763]","[1.0600039623435946, 1.0649189680455453, 1.0551712107492648, 1.064661508562347, 1.0538723464067077, 1.0550868017904147, 1.0689799127257726, 1.0425112827208218, 1.0564595487167314, 1.077366557768361, 1.0602391746023716, 1.08769566870917, 1.0747490711416194, 1.0735757097171652, 1.0543520208588835, 1.0704481564975574, 1.0735870041399347, 1.0490995563966872, 1.065196671187404, 1.0710295140472483]",0.36494649648666383,0.9345877013598226,1.06395023235638,1.1384166844998445
1650,705,"[0.9193438487830374, 0.941957037601327, 0.9611261681319307, 0.9371970026840104, 0.928592641674379, 0.9389233859003909, 0.9296104899786216, 0.9333572112518217, 0.9233904063659395, 0.9451518901328957, 0.9484550498364311, 0.9393563421694147, 0.939806317616711, 0.9402166531844307, 0.9485873901055876, 0.9333161238958559, 0.9446375834664512, 0.934231530024218, 0.9242195927216471, 0.9256446871429687]","[1.0792207156217901, 1.070187838415635, 1.067053223729489, 1.0415595259460224, 1.0601695389055839, 1.0716726166249957, 1.0678383938125846, 1.069093641499254, 1.0680807420415717, 1.053872006564117, 1.0783904373767677, 1.0565767513024193, 1.0623313652425093, 1.05802641788416, 1.0510392305649585, 1.0810991195209527, 1.0645459191040942, 1.0807336000803072, 1.062761760903982, 1.057328044539095]",0.38005021810531614,0.9368560676334037,1.0650790444840144,1.1368651826897116
1650,755,"[0.9495012178727112, 0.9201538515154685, 0.9286849862120852, 0.93814147693868, 0.9286253930805246, 0.9395933919498538, 0.9361387586909952, 0.9173101253724457, 0.9526489596382217, 0.9229694226254077, 0.9361063712731438, 0.9222472938626767, 0.9219320060185008, 0.9338309498930356, 0.9381247184875185, 0.9159003006838347, 0.9260252626302091, 0.9393506348625245, 0.9209880312221475, 0.9212139306543411]","[1.0730245232260376, 1.0570961715136904, 1.0433600413034616, 1.0672887150822143, 1.0693586127970327, 1.0592464107107304, 1.060697211409023, 1.0720068920223857, 1.0680094472741681, 1.0611079750330272, 1.0567453483391818, 1.0670302971697663, 1.0624394399047308, 1.0885700212117038, 1.062610012271362, 1.0475090123810111, 1.087667789098921, 1.0822660595331401, 1.0694561943561673, 1.0699537025384627]",0.4011977791786194,0.9304743541742164,1.066272193858811,1.145944742136513
1650,805,"[0.9194848418802523, 0.9386535086371527, 0.943686980408349, 0.9323046108863027, 0.9314692876914418, 0.9488454701769099, 0.9212870700063138, 0.9297222222614882, 0.9390261150633806, 0.9331435286003272, 0.9372177164423857, 0.9334162504149716, 0.9354434255040188, 0.9276871799749239, 0.9418565313415214, 0.9451123885139824, 0.9337157399888217, 0.9578537412944994, 0.9305597081306911, 0.9452949602768872]","[1.0572668452031337, 1.0438279094827843, 1.0741873101697008, 1.0689129610588157, 1.0741835512823066, 1.052110532212611, 1.0617916749040248, 1.0605607596778848, 1.06682996935614, 1.0553168928979222, 1.05975115773884, 1.0704927905819193, 1.0751583204650854, 1.0546308811876515, 1.0570494654598395, 1.040255619608047, 1.0634157909173156, 1.0589423497748496, 1.067742012674026, 1.0626986587786371]",0.4105562806129456,0.936289063874731,1.0612562726715766,1.1334707555802077
1650,855,"[0.9372595652987126, 0.9484320405760721, 0.928999644276656, 0.9356529347082243, 0.9327571798828378, 0.9379864747610485, 0.9429288224923358, 0.9501138348765175, 0.9149882901255291, 0.9372009201105397, 0.9309167194051089, 0.9326151474412089, 0.9166248116140465, 0.9150645912656025, 0.943967431109509, 0.9361181570839803, 0.9361367527119693, 0.9060118242268344, 0.9238465318767041, 0.931588815685531]","[1.0487342758643834, 1.082633463608529, 1.054793545945471, 1.066100877965951, 1.0611196956857447, 1.0844143679767768, 1.0934225368928043, 1.0779307778297202, 1.0446246337313199, 1.0692675563268237, 1.056015795630699, 1.0670073641461697, 1.0788742285016066, 1.0600990898249545, 1.0424348474731198, 1.0897400901102303, 1.059706205269459, 1.0611475559291494, 1.0647585008051845, 1.0537356937801878]",0.4332327008247375,0.9319605244764484,1.0658280551649142,1.1436407735871315
1650,905,"[0.9330645524474345, 0.9385813820216269, 0.931012055765846, 0.9257844305129987, 0.934730307461801, 0.9142259775378013, 0.9402416951980623, 0.9314371344412522, 0.9300496772474588, 0.9389329774234586, 0.9227605473319027, 0.9345041980596552, 0.9411222407983573, 0.9418823185862177, 0.9264052811540074, 0.93713003334699, 0.9528995972633467, 0.9451376797761634, 0.9106443508516351, 0.9405706133529782]","[1.0656593750858325, 1.0670703016291094, 1.0613367682339299, 1.063799652266493, 1.0686246885849093, 1.0811139581772764, 1.0725164690893472, 1.0552500217853575, 1.0645610805482768, 1.0510113235397485, 1.0704896970264453, 1.055926323444253, 1.0532191231949455, 1.0685152045296322, 1.085985341958843, 1.04589891011376, 1.0831330154536174, 1.0633999740408544, 1.0467173925741913, 1.0706146400473957]",0.4524154305458069,0.9335558525289496,1.064742163066211,1.1405232586586922
