m,MSE,Sparsity,Min_SVD_Error,Max_SVD_Error,sketching_error,inv_squared_sketching_error
3500,1.0985569601676386e-27,10,0.09197824303803492,0.08710690885390115,0.09197824303803492,118.20334892104007
3600,5.911604419447912e-28,10,0.09833039224698126,0.08765569660389638,0.09833039224698126,103.42474452747521
3700,4.5283862985127675e-28,10,0.09237433271229145,0.09083524258903086,0.09237433271229145,117.19183961325618
3800,4.501797433553503e-28,10,0.09528607696891644,0.08657409824663387,0.09528607696891644,110.13899419320755
3900,6.010172367688148e-28,10,0.0900007494466164,0.08196433275295045,0.0900007494466164,123.4547340541692
4000,5.124694201615537e-28,10,0.08851570241707574,0.07984829785530234,0.08851570241707574,127.63193686835208
4100,5.672255190029877e-28,10,0.08072248109247304,0.07651841480634514,0.08072248109247304,153.46558390073463
4200,8.693317704630857e-28,10,0.08772217795522286,0.07955591091190306,0.08772217795522286,129.9514675871788
4300,5.160360541396475e-28,10,0.07731279340818498,0.07049125015437263,0.07731279340818498,167.3005118539619
4400,4.118152744069761e-28,10,0.07800242691564019,0.08031856726568498,0.08031856726568498,155.0129903397245
4500,3.601249065962775e-28,10,0.08689455297136983,0.06672049561739857,0.08689455297136983,132.4386951832075
4600,3.6329892288406165e-28,10,0.08227168111274985,0.07313263534909087,0.08227168111274985,147.74039531369556
4700,4.757354523633756e-28,10,0.07142348542124177,0.07501046281813961,0.07501046281813961,177.72818664706128
4800,5.01486567610228e-28,10,0.07177240481234948,0.07115454087879747,0.07177240481234948,194.12658024552712
4900,6.7270757384731515e-28,10,0.07268407924053721,0.07154359900327645,0.07268407924053721,189.28727260848538
5000,4.0200766259520273e-28,10,0.06915614917530266,0.06614541072003033,0.06915614917530266,209.09247104701498
5100,3.807712946054274e-28,10,0.07392230782944709,0.06901462246453316,0.07392230782944709,182.99910516106237
5200,6.115242942592439e-28,10,0.06533191004505634,0.07457507337590052,0.07457507337590052,179.80949500042001
5300,5.74046051065169e-28,10,0.06541375406693639,0.068410918711034,0.068410918711034,213.6727574024187
5400,4.562920216908681e-28,10,0.06613817240127673,0.06999014725519759,0.06999014725519759,204.1390951918677
5500,4.105636294843024e-28,10,0.06311487844485597,0.06749551618841032,0.06749551618841032,219.50789946018728
5600,4.735307759529382e-28,10,0.06212005767673723,0.06547076031526111,0.06547076031526111,233.29489260437677
5700,5.172185007846054e-28,10,0.06484565994569336,0.05996386003818999,0.06484565994569336,237.81441246663695
5800,4.6263877437043255e-28,10,0.06823092140739184,0.06304321525760992,0.06823092140739184,214.80160778259324
5900,3.7562383984153664e-28,10,0.059922201575494216,0.05846143642489521,0.059922201575494216,278.49953705002906
6000,4.164807105829107e-28,10,0.061997886169293914,0.06099040873891859,0.061997886169293914,260.1634213253546
6100,5.1967516502155725e-28,10,0.0627974454055169,0.0553977252970026,0.0627974454055169,253.58061216393955
6200,6.644800741561563e-28,10,0.06449675741664473,0.05256850294641113,0.06449675741664473,240.39433995621238
6300,5.948598088576107e-28,10,0.06105696764078261,0.05320994765778764,0.06105696764078261,268.2437037700934
6400,6.517313966048734e-28,10,0.06421169723200726,0.053649704505014384,0.06421169723200726,242.53348177307836
6500,1.093870599456193e-27,10,0.05507334704846123,0.05449158459808623,0.05507334704846123,329.6985654409402
6600,4.501195739912881e-28,10,0.05185876558617886,0.05482323043802095,0.05482323043802095,332.7137542614351
6700,3.6533969156287525e-28,10,0.05487319290381332,0.06101478939138505,0.06101478939138505,268.6146944932605
6800,4.112750281775277e-28,10,0.052296770178211105,0.05564368182405732,0.05564368182405732,322.9745358476573
6900,4.250428949901684e-28,10,0.05742832334354564,0.046595397546785655,0.05742832334354564,303.2129362628221
7000,5.037690180792376e-28,10,0.048915229723223375,0.05725052668789132,0.05725052668789132,305.0991707028976
7100,3.3937589417744583e-28,10,0.053161508463817286,0.0648261814254294,0.0648261814254294,237.9573475797962
7200,6.51897198835265e-28,10,0.059509080416112914,0.05247603602276829,0.059509080416112914,282.3797318794048
7300,6.4416376619572e-28,10,0.05188507745305182,0.05176202062975488,0.05188507745305182,371.4625718220928
7400,4.85259996461564e-28,10,0.048957550814034634,0.05051076010964506,0.05051076010964506,391.95137465089357
7500,4.24432764081572e-28,10,0.04972346984364284,0.047729284576987885,0.04972346984364284,404.4614601388976
7600,4.47421727627405e-28,10,0.04604073030225975,0.050447052109194646,0.050447052109194646,392.9419659540511
7700,5.011112128774191e-28,10,0.04981717126699814,0.052479119191116474,0.052479119191116474,363.1005656977982
7800,8.31703777433594e-28,10,0.046683535739525106,0.04552003800859872,0.046683535739525106,458.85188183392984
7900,5.016129690117428e-28,10,0.05220883053572756,0.047774407486108394,0.05220883053572756,366.8698900233453
8000,5.178406393271447e-28,10,0.04696064578894821,0.046432421865665985,0.04696064578894821,453.4525816940327
8100,4.293074157221838e-28,10,0.04330714217826981,0.05046940650697129,0.05046940650697129,392.59395173018896
8200,4.740274045684152e-28,10,0.04481481887111893,0.04607895208147794,0.04607895208147794,470.97170046878756
8300,6.330081229075693e-28,10,0.04738687429745414,0.04859637407688555,0.04859637407688555,423.440376485405
8400,6.911044305376228e-28,10,0.04744038497585401,0.043458127240388666,0.04744038497585401,444.32790678118005
8500,5.877270349409724e-28,10,0.0460024242131295,0.04544708467783676,0.0460024242131295,472.5399847639542
8600,4.465993268062768e-28,10,0.04300784508922506,0.052716725854639934,0.052716725854639934,359.83478310437516
8700,4.513402058181418e-28,10,0.04030023023819029,0.05054830132928578,0.05054830132928578,391.3694018353443
8800,7.28067502956051e-28,10,0.04901831219135222,0.05062874465536926,0.05062874465536926,390.1267067962201
8900,3.1155642307718205e-28,10,0.0399095273115706,0.04462225881488768,0.04462225881488768,502.2233473432793
9000,5.930429239111167e-28,10,0.04748173208479023,0.04137947332647873,0.04748173208479023,443.55440191821276
9100,3.7620459585032366e-28,10,0.04601653254482241,0.04416728733711239,0.04601653254482241,472.25027458867146
9200,5.454974852110532e-28,10,0.03998813874075102,0.0501735646809367,0.0501735646809367,397.2373583236011
9300,4.235694239216904e-28,10,0.03793111345293865,0.04472289331315493,0.04472289331315493,499.9657057773892
9400,8.142066819332346e-28,10,0.04132030440144763,0.04556219683439555,0.04556219683439555,481.71557482448844
9500,5.539981858455803e-28,10,0.038997954171385074,0.043445203904437735,0.043445203904437735,529.8053265199325
9600,5.179394661111249e-28,10,0.04062692095575948,0.047454040952859655,0.047454040952859655,444.07221270360867
9700,5.040232876705129e-28,10,0.042032610762495204,0.04057086395504639,0.042032610762495204,566.0141231779104
9800,5.325310357505733e-28,10,0.04031544462863401,0.04660403912256128,0.04660403912256128,460.4186251525128
9900,5.952591765471895e-28,10,0.03357632297017532,0.03823697132117654,0.03823697132117654,683.963662748912
10000,1.9878060149497072e-27,10,0.036476389954410826,0.0380787974180119,0.0380787974180119,689.6576395798178
