m,MSE,Sparsity,Min_SVD,Max_SVD
8500,0.010028198215486861,10,86.1175184756265,114.50548198749622
8600,0.010007651236799097,10,86.34901208988636,114.82067549837947
8700,0.01002757366456034,10,86.00599512973331,115.64992939400304
8800,0.00999480867655621,10,86.12532673093908,115.05136966187786
8900,0.010031456102370825,10,85.73350486420995,114.31629700372837
9000,0.009996845533096054,10,86.12703179121131,113.59207401508169
9100,0.01001789092072245,10,86.5467776936857,115.53892956184038
9200,0.010022522250115866,10,86.36618510081142,114.26169807359582
9300,0.00998329919622002,10,86.21613016369251,114.16972041471386
9400,0.009994533156884635,10,86.65711640868986,113.87784017053724
9500,0.009985220763716609,10,86.3701204836896,114.28656217788897
9600,0.010017321914512805,10,86.26618057615391,114.1558961722315
9700,0.010024101696159395,10,85.96099071674756,113.90723055590671
9800,0.010008982116001831,10,85.97140707990991,113.74648208188565
9900,0.010002714333889438,10,86.2293747948794,113.78828254940873
10000,0.009992022608057679,10,86.40021579856675,114.58045666641512
